Designator,Footprint,Quantity,Value,LCSC Part #
BZ1,BUZ-TH_BD12.0-P7.60-D0.6-FD,1,Buzzer,C96095
"C1, C2, C24",603,3,0.1uF,C14663
"C10, C11, C12, C3, C4, C5, C6, C7, C8, C9",603,10,33nF,C21117
"C13, C16, C17, C22",603,4,100nF,C14663
C14,CP_Radial_D5.0mm_P2.00mm,1,10uF,C88726
C15,603,1,1uF,C15849
"C18, C19, C23",CP_Radial_D5.0mm_P2.00mm,3,4.7uF,C88759
"C20, C21",603,2,20pF,C1648
D1,603,1,LED,C2286
"D2, D3",D_SMA,2,SS14,C2480
F1,Fuseholder_Cylinder-5x20mm_Stelvio-Kontek_PTF78_Horizontal_Open,1,Fuse,C717030
F2,Fuseholder_Cylinder-5x20mm_Stelvio-Kontek_PTF78_Horizontal_Open,1,Fuse,C717030
F3,1812,1,Polyfuse,C17313
J1,PinSocket_1x12_P2.54mm_Vertical,1,Conn_01x12,C2905419
J10,JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,1,Conn_01x02_Female,C131337
"J11, J12",JST_PH_B4B-PH-K_1x04_P2.00mm_Vertical,2,Conn_01x04_Female,C131334
"J13, J14, J15, J17",JST_PH_B3B-PH-K_1x03_P2.00mm_Vertical,4,Conn_01x03_Female,C131339
J16,JST_PH_B6B-PH-K_1x06_P2.00mm_Vertical,1,Conn_01x06_Female,C131342
"J18, J19",JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal,2,Conn_01x02_Female,C157932
J2,PinSocket_1x16_P2.54mm_Vertical,1,Conn_01x16,C2905421
"J20, J21, J22",CONN-TH_6P-P5.00_MX128-5.0-06P-GN01-CU-Y-A,3,Screw_Terminal_01x06,C5290371
J24,PinHeader_1x02_P2.54mm_Vertical,1,powered,C492401
"J5, J6, J7",Jack_3.5mm_CUI_SJ1-3525N_Horizontal,3,,C692542
J8,USB-C-TH_GT-USB-7055,1,USB_C_Receptacle_USB2.0_16P,C2686963
"JP1, JP15, JP16, JP2, JP3, JP4, JP5, JP6, JP7, JP8, JP9",SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,11,no-filter-1,
"JP10, JP11, JP12, JP18, JP19",SolderJumper-2_P1.3mm_Bridged_RoundedPad1.0x1.5mm,5,bridged,
"JP13, JP14",SolderJumper-3_P1.3mm_Bridged12_RoundedPad1.0x1.5mm,2,SolderJumper_3_Bridged12,
Q1,TSOT-23,1,PMOS,C15127
"R1, R14, R15, R16, R17, R18, R20, R21, R26, R27, R29, R5, R6",603,13,1k,C21190
"R10, R11, R12, R9",603,4,100,C22775
"R13, R19",603,2,499k,C131054
"R2, R22, R23, R24, R25, R28, R3, R30, R31, R36, R37, R38, R39, R4, R40",603,15,10k,C25804
"R34, R35",603,2,56k,C23206
"R7, R8",603,2,2.2k,C4190
"RELAY1, RELAY2",Relay_SPDT_SANYOU_SRD_Series_Form_C,2,JQC-3FF/005-1ZS(551),C9221
"T1, T2, T3, T4, T5, T6",SOT-23,6,AO3400A,C427382
U1,SOIC-14_L8.7-W3.9-P1.27-LS6.0-BL,1,74HC02,C350559
U2,LFCSP-28-1EP_5x5mm_P0.5mm_EP3.14x3.14mm,1,ADE7953xCP,C515890
U3,SOT-223-3_TabPin2,1,AMS1117-3.3,C6186
U4,SOIC-8_L5.0-W4.0-P1.27-LS6.0-BL,1,LM393,C7955
Y1,Crystal_HC49-4H_Vertical,1,3.58MHz,C2826865
